Wavelength,Sensitivity
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0.9166099429130554
421,0.921781063079834
422,0.9269092082977295
423,0.931972861289978
424,0.9369505047798157
425,0.9418206214904785
426,0.9465616941452026
427,0.9511520862579346
428,0.9555703997612
429,0.9597950577735901
430,0.9638045430183411
431,0.9675772786140442
432,0.9710918068885803
433,0.9743265509605408
434,0.9772599935531616
435,0.979870617389679
436,0.9821369051933289
437,0.9840372800827026
438,0.9855502843856812
439,0.9866542816162109
440,0.9873278737068176
441,0.9875494241714478
442,0.9872974753379822
443,0.986550509929657
444,0.9852869510650635
445,0.983485221862793
446,0.9811239242553711
447,0.9781814217567444
448,0.9746362566947937
449,0.9704668521881104
450,0.9656516909599304
451,0.96016925573349
452,0.9539980292320251
453,0.947116494178772
454,0.939503014087677
455,0.9311362504959106
456,0.9219945073127747
457,0.9120562672615051
458,0.9013001322746277
459,0.8897044658660889
460,0.8772643208503723
461,0.8640425801277161
462,0.8501195907592773
463,0.8355756998062134
464,0.8204911947250366
465,0.8049464821815491
466,0.789021909236908
467,0.7727977633476257
468,0.7563543915748596
469,0.7397721409797668
470,0.7231313586235046
471,0.7065123915672302
472,0.689995527267456
473,0.6736611127853394
474,0.6575895547866821
475,0.6418611407279968
476,0.6265562176704407
477,0.6117550730705261
478,0.5975381135940552
479,0.5839856863021851
480,0.5711656808853149
481,0.5590950846672058
482,0.5477776527404785
483,0.5372169613838196
484,0.5274168252944946
485,0.5183809995651245
486,0.5101131200790405
487,0.5026169419288635
488,0.4958961606025696
489,0.48995456099510193
490,0.48479580879211426
491,0.48042362928390503
492,0.4768417477607727
493,0.47405388951301575
494,0.47206375002861023
495,0.470875084400177
496,0.47049158811569214
497,0.4709169864654541
498,0.47215497493743896
499,0.4742092788219452
500,0.4770768880844116
501,0.4807418882846832
502,0.4851868152618408
503,0.4903942048549652
504,0.496346652507782
505,0.5030267238616943
506,0.5104169249534607
507,0.5184997916221619
508,0.5272579193115234
509,0.536673903465271
510,0.5467301607131958
511,0.557409405708313
512,0.5686941146850586
513,0.5805668234825134
514,0.5930100679397583
515,0.6060065031051636
516,0.6195386052131653
517,0.6335889101028442
518,0.648140013217926
519,0.6631743311882019
520,0.6786587238311768
521,0.6945293545722961
522,0.7107187509536743
523,0.7271595001220703
524,0.7437841892242432
525,0.7605254054069519
526,0.777315616607666
527,0.7940875291824341
528,0.8107735514640808
529,0.8273063898086548
530,0.8436185717582703
531,0.8596426844596863
532,0.8753111958503723
533,0.8905567526817322
534,0.9053119421005249
535,0.9195092916488647
536,0.9330813884735107
537,0.9459607601165771
538,0.9580800533294678
539,0.9693719148635864
540,0.9797850847244263
541,0.9893004298210144
542,0.9979023933410645
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,0.9986687898635864
559,0.9893724322319031
560,0.9788984060287476
561,0.9672746062278748
562,0.9545323848724365
563,0.9407029151916504
564,0.925817608833313
565,0.9099076986312866
566,0.8930044770240784
567,0.8751392364501953
568,0.8563432693481445
569,0.8366479277610779
570,0.8160844445228577
571,0.794684112071991
572,0.7724782228469849
573,0.7494981288909912
574,0.7257750630378723
575,0.7013403177261353
576,0.6762251853942871
577,0.6504610180854797
578,0.6240790486335754
579,0.5971105694770813
580,0.5695992112159729
581,0.5416408777236938
582,0.5133453607559204
583,0.4848226308822632
584,0.4561825394630432
585,0.42753490805625916
586,0.3989896774291992
587,0.37065666913986206
588,0.3426457643508911
589,0.3150668740272522
590,0.28802981972694397
591,0.26164448261260986
592,0.2360207438468933
593,0.21126848459243774
594,0.1874975562095642
595,0.16481783986091614
596,0.14333921670913696
597,0.12317155301570892
598,0.10442470759153366
599,0.08720856159925461
600,0.07162104547023773
601,0.057643745094537735
602,0.04519273713231087
603,0.03418334200978279
604,0.024530882015824318
605,0.016150686889886856
606,0.008958081714808941
607,0.002868389943614602
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
